symbol,breakout_ts,level,tp1,tp2,sl,expires_at,tier,confluence,touches,breakout_magnitude_atr,token_rsi,btc_rsi,raw_rr,published,skip_reason,filled,fill_ts,tp1_hit_ts,tp2_hit_ts,sl_hit_ts,tp1_hold_hours,tp2_hold_hours,exit_ts,exit_price,exit_reason,pnl_pct,hold_hours
NEAR,2026-04-19 00:00:00+00:00,1.3,1.4,1.5,1.2,2026-04-22 00:00:00+00:00,Major,3.0,6,0.5428313796212796,47.08860759493668,65.5098814229249,0.9999999999999978,False,momentum,False,,,,,,,,0.0,,0.0,0
NEAR,2026-04-19 08:00:00+00:00,1.3,1.4,1.5,1.2,2026-04-22 08:00:00+00:00,Major,3.0,6,0.7448151487826864,49.14841849148417,65.99500719245947,0.9999999999999978,False,momentum,False,,,,,,,,0.0,,0.0,0
NEAR,2026-04-19 12:00:00+00:00,1.3,1.4,1.5,1.2,2026-04-22 12:00:00+00:00,Major,3.0,6,0.8331830477908033,50.0,66.91618638289214,0.9999999999999978,True,,False,,,,,,,,0.0,,0.0,0
NEAR,2026-04-19 16:00:00+00:00,1.3,1.4,1.5,1.2,2026-04-22 16:00:00+00:00,Major,3.0,6,0.7448151487826864,49.14841849148417,62.64143286812328,0.9999999999999978,False,momentum,False,,,,,,,,0.0,,0.0,0
NEAR,2026-04-20 00:00:00+00:00,1.3,1.4,1.7,1.2,2026-04-23 00:00:00+00:00,Major,2.0,7,0.7316209034543837,49.77375565610859,56.241336145600556,0.9999999999999978,False,momentum,False,,,,,,,,0.0,,0.0,0
NEAR,2026-04-20 04:00:00+00:00,1.3,1.4,1.7,1.2,2026-04-23 04:00:00+00:00,Major,2.0,7,0.6076173604960133,48.6111111111111,56.89542404317791,0.9999999999999978,False,momentum,False,,,,,,,,0.0,,0.0,0
NEAR,2026-04-20 08:00:00+00:00,1.3,1.4,1.7,1.2,2026-04-23 08:00:00+00:00,Major,2.0,7,0.6200177147918517,48.72979214780601,57.9942026159208,0.9999999999999978,False,momentum,False,,,,,,,,0.0,,0.0,0
XRP,2026-04-20 12:00:00+00:00,1.4,1.5,1.6,1.3,2026-04-23 12:00:00+00:00,Major,2.0,2,0.5738999623918798,61.63636363636364,59.51534474454678,1.0000000000000022,False,quality,False,,,,,,,,0.0,,0.0,0
NEAR,2026-04-20 12:00:00+00:00,1.3,1.4,1.7,1.2,2026-04-23 12:00:00+00:00,Major,2.0,7,0.6448184233835258,48.965517241379324,59.51534474454678,0.9999999999999978,False,momentum,False,,,,,,,,0.0,,0.0,0
XRP,2026-04-20 16:00:00+00:00,1.4,1.5,1.6,1.3,2026-04-23 16:00:00+00:00,Major,2.0,2,0.5317788642346747,61.355311355311336,61.07586274707811,1.0000000000000022,False,quality,False,,,,,,,,0.0,,0.0,0
BNB,2026-04-20 16:00:00+00:00,621.0,651.0,680.0,600.0,2026-04-23 16:00:00+00:00,Major,2.0,40,0.5115230269443887,61.292652103267734,61.07586274707811,1.4285714285714286,True,,False,,,,,,,,0.0,,0.0,0
NEAR,2026-04-20 16:00:00+00:00,1.3,1.4,1.7,1.2,2026-04-23 16:00:00+00:00,Major,2.0,7,0.7440212577502221,49.88713318284426,61.07586274707811,0.9999999999999978,False,momentum,False,,,,,,,,0.0,,0.0,0
NEAR,2026-04-20 20:00:00+00:00,1.3,1.4,1.7,1.2,2026-04-23 20:00:00+00:00,Major,2.0,7,0.7688219663418961,50.112359550561806,59.85983763967077,0.9999999999999978,False,per_token_cap,False,,,,,,,,0.0,,0.0,0
